Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,_1,OBPM,DBPM,BPM,VORP,Player-additional
126,Dorian Finney-Smith,PF,29,DAL,12,390,8,0.557,0.647,0.129,4.4,10.4,7.5,3.3,1.3,1.4,14.3,12.2,0,0.3,0.4,0.046,,-2,-0.6,-2.6,-0.1,finnedo01
127,Malachi Flynn,PG,24,TOR,9,95,16.8,0.622,0.561,0.268,1.1,12.5,6.5,14.5,1.5,1.1,9.8,22.6,0.2,0.1,0.3,0.148,,0.4,-0.8,-0.3,0,flynnma01
128,Simone Fontecchio,SF,27,UTA,7,32,4.7,0.469,0.688,0,6.8,13.7,10.2,0,1.5,0,15.8,24.7,-0.1,0,-0.1,-0.078,,-6.6,-4,-10.5,-0.1,fontesi01
129,Bryn Forbes,SG,29,MIN,8,87,8.6,0.423,0.483,0.138,3.9,2.4,3.1,11.9,3.8,0,8.9,16.4,-0.1,0.1,0,0.012,,-4.2,0.9,-3.3,0,forbebr01
130,Trent Forrest,PG,24,ATL,4,14,-0.9,0,0,0,0,15,7.5,23.4,0,0,0,8.9,0,0,0,-0.098,,-8.6,-2.2,-10.8,0,forretr01
131,Evan Fournier,SG,30,NYK,13,260,6.9,0.474,0.633,0.122,0.8,10.1,5.4,11.4,1.6,1.1,12.9,17.3,-0.2,0.2,0,-0.002,,-3.8,-0.4,-4.1,-0.1,fournev01
132,De'Aaron Fox,PG,25,SAC,11,360,24.1,0.638,0.284,0.269,2.3,15.9,9.2,32.5,1.9,1.2,13.7,30.7,0.9,0.3,1.2,0.165,,4.7,-0.1,4.6,0.6,foxde01
133,Wenyen Gabriel,PF,25,LAL,11,149,13.9,0.66,0.143,0.286,4.8,15.1,9.9,7.8,2.5,3.4,16.9,13.4,0.2,0.2,0.4,0.116,,-2.9,2.2,-0.7,0,gabriwe01
134,Daniel Gafford,C,24,WAS,14,206,17.7,0.722,0,0.659,11,18.2,14.7,5.7,1.2,6.4,23,15.9,0.3,0.3,0.6,0.148,,-1.8,1.3,-0.5,0.1,gaffoda01
135,Darius Garland,PG,23,CLE,7,242,17.3,0.533,0.443,0.311,1.9,5.8,3.9,36,2,0.4,13.7,28.8,0.3,0.3,0.6,0.123,,3.1,-1,2.1,0.2,garlada01
136,Usman Garuba,PF,20,HOU,12,183,15.4,0.594,0.182,0.394,15.5,23.3,19.3,10.7,2.9,3.9,26.6,11.8,0.1,0.2,0.4,0.092,,-0.8,0.6,-0.2,0.1,garubus01
137,Rudy Gay,SF,36,UTA,12,189,7,0.445,0.586,0.103,3.4,20.3,11.8,6.8,1.3,2.6,14.2,15.5,-0.2,0.2,0,0.006,,-4.5,0.4,-4.1,-0.1,gayru01
